2A/D,2B/D,Geno group
0,2.9885,0
0,3.2629,0
0,3.4384,0
0,3.4791,0
0,3.4792,0
0,3.5294,0
0,3.5476,0
0,3.5965,0
0,3.6098,0
0,3.6232,0
0,3.659,0
0,3.6824,0
0,3.6862,0
0,3.6932,0
0,3.7119,0
0,3.7567,0
0,3.7707,0
0,3.7746,0
0,3.7796,0
0,3.801,0
0,3.8195,0
0,3.8254,0
0,3.8265,0
0,3.8474,0
0,3.8506,0
0,3.8541,0
0,3.856,0
0,3.8644,0
0,3.8808,0
0,3.8984,0
0,3.9003,0
0,3.9035,0
0,3.9074,0
0,3.9094,0
0,3.916,0
0,3.9266,0
0,3.9273,0
0,3.9321,0
0,3.9372,0
0,3.9666,0
0,3.9799,0
0,3.9932,0
0,4.0108,0
0,4.0129,0
0,4.0134,0
0,4.0261,0
0,4.0361,0
0,4.0382,0
0,4.0702,0
0,4.0884,0
0,4.0921,0
0,4.1311,0
0,4.1322,0
0,4.1383,0
0,4.1579,0
0,4.1634,0
0,4.178,0
0,4.1818,0
0,4.1858,0
0,4.1975,0
0,4.2011,0
0,4.2012,0
0,4.2069,0
0,4.2099,0
0,4.2228,0
0,4.243,0
0,4.2642,0
0,4.272,0
0,4.2988,0
0,4.3095,0
0,4.3198,0
0,4.3214,0
0,4.3273,0
0,4.3523,0
0,4.359,0
0,4.3604,0
0,4.3616,0
0,4.3713,0
0,4.3782,0
0,4.3812,0
0,4.3891,0
0,4.3899,0
0,4.3907,0
0,4.4,0
0,4.4133,0
0,4.4187,0
0,4.4271,0
0,4.4471,0
0,4.4634,0
0,4.4655,0
0,4.4765,0
0,4.4897,0
0,4.4933,0
0,4.5101,0
0,4.5108,0
0,4.5213,0
0,4.5273,0
0,4.5322,0
0,4.5887,0
0,4.5914,0
0,4.6626,0
0,4.7019,0
0,4.72,0
0,4.7988,0
0,4.816,0
0,4.8742,0
0,4.8828,0
0,4.9053,0
0,4.9377,0
0,4.9429,0
0,4.9808,0
0,4.9961,0
0,5.0553,0
0,5.0972,0
0,5.3468,0
0.0049,3.8971,0
0.0051,3.8875,0
0.0055,4.5801,0
0.0065,4.8247,0
0.0068,3.7192,0
0.0087,3.3232,0
0.0116,4.185,0
0.0117,3.4428,0
0.6194,2.6409,1
0.6904,2.9391,1
0.7379,3.3981,1
0.7386,2.5852,1
0.7485,2.8589,1
0.7494,2.9403,1
0.7507,2.3539,1
0.771,3.067,1
0.7772,3.2772,1
0.7971,3.031,1
0.8047,2.8994,1
0.814,2.7907,1
0.8151,2.6503,1
0.8171,2.5036,1
0.8217,2.77,1
0.8253,2.7291,1
0.826,2.774,1
0.8267,3.344,1
0.8359,2.8667,1
0.8436,2.9665,1
0.8444,3.45,1
0.8494,2.9333,1
0.8621,2.67,1
0.8627,2.6961,1
0.8639,2.8639,1
0.8646,2.9395,1
0.8731,3.3655,1
0.8767,3.3151,1
0.88,3.0343,1
0.8838,2.3788,1
0.8838,2.5404,1
0.8852,2.8743,1
0.8871,3.3543,1
0.8899,2.9258,1
0.8911,2.9436,1
0.8952,2.7903,1
0.8994,2.7765,1
0.9009,2.6856,1
0.9046,3.28,1
0.9071,2.776,1
0.9125,2.825,1
0.9159,3.2773,1
0.9167,2.8438,1
0.9173,2.752,1
0.9209,3.2372,1
0.9235,2.7705,1
0.9301,2.9783,1
0.9316,2.3421,1
0.9322,3.3107,1
0.933,2.8635,1
0.9333,2.9493,1
0.9433,3.2716,1
0.946,2.6476,1
0.947,3.1776,1
0.9471,2.9572,1
0.9521,3.2994,1
0.9526,3.3036,1
0.955,3.09,1
0.9561,2.7597,1
0.9569,3,1
0.9573,2.6966,1
0.9573,2.8957,1
0.9591,3.7661,1
0.9614,2.7198,1
0.9644,3.1321,1
0.9644,2.6746,1
0.9676,2.8479,1
0.9709,3.4952,1
0.9763,3.2982,1
0.9784,2.7135,1
0.9791,2.4597,1
0.9864,2.7273,1
0.9877,2.963,1
0.9915,2.6496,1
0.9922,2.7442,1
0.9945,3.1319,1
0.9946,3.2324,1
0.9951,2.7685,1
1,3.204,1
1,3.6135,1
1.0025,3.2875,1
1.0027,2.7871,1
1.0056,3.4581,1
1.0064,3.1795,1
1.008,3.1046,1
1.0084,3.4958,1
1.0159,2.7937,1
1.017,3.9709,1
1.0222,3.0722,1
1.0249,2.7065,1
1.0251,2.7387,1
1.0258,3.8672,1
1.0261,3.4609,1
1.0262,3.0524,1
1.0279,2.9783,1
1.0293,2.899,1
1.0294,3.1471,1
1.0298,2.9431,1
1.034,3.0631,1
1.0384,2.9027,1
1.0424,3.2469,1
1.0451,3.5435,1
1.0458,3.2614,1
1.0523,3.2442,1
1.0537,3.0732,1
1.0567,3.1582,1
1.0576,3.3089,1
1.0579,3.168,1
1.0598,2.9345,1
1.0628,3.1361,1
1.0641,3.0641,1
1.0644,3.0252,1
1.0663,3.3615,1
1.0683,2.6944,1
1.0683,3.4099,1
1.0692,3.6352,1
1.0703,3.2054,1
1.0707,3.3152,1
1.0716,2.9231,1
1.0735,2.9559,1
1.0736,2.8551,1
1.074,2.8603,1
1.0742,3.6855,1
1.0762,3.0516,1
1.0773,3.104,1
1.0774,3.771,1
1.0799,3.3939,1
1.08,2.665,1
1.0855,3.5855,1
1.0864,3.5556,1
1.0866,3.206,1
1.0878,3.122,1
1.0898,3.4737,1
1.0924,3.4342,1
1.0945,3.4007,1
1.0966,3.2898,1
1.0976,3.0132,1
1.0997,2.6942,1
1.1006,3.1069,1
1.1065,3.5148,1
1.1069,2.7123,1
1.1092,3.523,1
1.1099,2.8845,1
1.1106,2.8571,1
1.1158,3.4597,1
1.1167,3.0347,1
1.123,3.3102,1
1.1261,3.3053,1
1.1282,2.9487,1
1.1292,3.8893,1
1.131,2.5952,1
1.1314,3.64,1
1.1316,3.2421,1
1.1323,3.0892,1
1.1327,3.3827,1
1.1363,3.0283,1
1.1374,3.1374,1
1.139,3.3743,1
1.1401,3.1401,1
1.1411,3.5736,1
1.142,3.2426,1
1.1482,2.8413,1
1.1487,2.793,1
1.1504,3.2084,1
1.1514,2.973,1
1.1526,3.4526,1
1.1568,2.6541,1
1.157,3.3223,1
1.1572,3.7124,1
1.1601,3.8363,1
1.1646,3.0915,1
1.1648,3.4489,1
1.1667,3.4611,1
1.1775,3.213,1
1.1791,3.438,1
1.1793,3.4894,1
1.1795,2.9003,1
1.1797,3.1186,1
1.1798,2.8405,1
1.1848,3.4956,1
1.1881,3.4208,1
1.1901,3.3451,1
1.2015,3.9328,1
1.2034,3.5424,1
1.2079,2.7809,1
1.2123,3.3231,1
1.2131,3.6775,1
1.2159,2.9429,1
1.2169,3.7169,1
1.2186,2.8361,1
1.2219,3.0862,1
1.2231,2.9659,1
1.2277,3.7925,1
1.2321,3.0893,1
1.2329,3.074,1
1.2339,3.6812,1
1.2394,2.9575,1
1.2444,3.4984,1
1.2452,3.2507,1
1.2456,3.2866,1
1.247,3.3735,1
1.2552,3.731,1
1.2553,3.0106,1
1.2603,3.9726,1
1.2691,3.4751,1
1.2839,3.729,1
1.2861,2.8313,1
1.288,3.3044,1
1.2929,3.7374,1
1.2938,3.3559,1
1.2967,3.1099,1
1.3063,3.2051,1
1.3075,3.0693,1
1.3117,3.3182,1
1.3193,3.3544,1
1.3241,4.1379,1
1.3333,2.6836,1
1.3569,3.1769,1
1.3578,3.4373,1
1.3626,3.2674,1
1.3662,3.6617,1
1.3669,3.4911,1
1.3949,3.3694,1
1.41,3.351,1
1.4303,3.2878,1
1.4477,3.2326,1
1.5033,3.5563,1
1.5619,3.3608,1
1.6139,1.7525,2
1.6847,1.7658,2
1.7044,1.9261,2
1.7177,1.6329,2
1.7552,2.0729,2
1.7585,1.9226,2
1.7629,1.9278,2
1.7694,2.1394,2
1.7767,1.4394,2
1.777,2.0791,2
1.7825,1.8833,2
1.7866,1.8659,2
1.7885,2.1971,2
1.7962,2.0427,2
1.8084,1.8329,2
1.8249,2.4746,2
1.8378,1.8378,2
1.8378,2.2054,2
1.8391,1.9786,2
1.8442,2.1558,2
1.8458,2.2024,2
1.8575,2.0739,2
1.875,2.2941,2
1.8821,1.8019,2
1.892,1.9578,2
1.8997,1.9174,2
1.9196,2.331,2
1.9325,2.1195,2
1.9358,1.6543,2
1.9417,2.4665,2
1.945,1.815,2
1.9534,2.1574,2
1.9549,1.8296,2
1.9576,1.7972,2
1.958,1.916,2
1.9736,1.7954,2
1.9813,1.5888,2
1.9827,2.1441,2
1.9843,2.6387,2
1.9896,1.9896,2
1.9897,1.8972,2
1.99,2.1905,2
1.9943,2.1203,2
1.9945,2.126,2
2.0052,1.8351,2
2.01,1.9667,2
2.0107,2.3797,2
2.0193,1.8169,2
2.0219,2.2247,2
2.0263,2.1211,2
2.0374,2.0436,2
2.0417,1.974,2
2.0461,2.454,2
2.0656,2.306,2
2.0674,2.6788,2
2.0693,2.112,2
2.0741,2.2099,2
2.0849,1.9416,2
2.089,2.0594,2
2.0892,2.2047,2
2.1083,2.4672,2
2.1141,2.1141,2
2.1264,2.456,2
2.1401,1.9944,2
2.1436,1.7129,2
2.1451,2.0466,2
2.1469,1.8362,2
2.1534,2.2183,2
2.1542,1.9304,2
2.1556,2.3444,2
2.1566,2.2424,2
2.1616,2.4401,2
2.1625,2.2129,2
2.1646,2.3659,2
2.165,2.2406,2
2.1688,2.1125,2
2.1698,2.1061,2
2.1737,2.1916,2
2.1823,2.5367,2
2.1868,2.5604,2
2.1969,1.6684,2
2.2005,2.0813,2
2.2048,1.9762,2
2.2077,2.1543,2
2.2099,2.2974,2
2.2143,1.9667,2
2.2204,2.4247,2
2.2267,2.4205,2
2.236,2.2247,2
2.2469,1.9547,2
2.2706,2.7393,2
2.2725,2.3706,2
2.2761,2.293,2
2.2803,2.1656,2
2.284,2.423,2
2.2865,2.4756,2
2.2887,2.2406,2
2.2911,2.2595,2
2.2965,1.9397,2
2.304,2.1398,2
2.3041,1.3918,2
2.3063,2.3363,2
2.3129,2.1963,2
2.3137,2.2689,2
2.3288,2.0822,2
2.3382,2.414,2
2.3457,2.1436,2
2.3841,2.3775,2
2.386,1.8714,2
2.3934,2.2295,2
2.4064,2.0889,2
2.4316,2.3344,2
2.4412,2.2941,2
2.447,2.1777,2
2.4476,2.0113,2
2.4508,2.2349,2
2.493,2.4085,2
2.5275,2.6429,2
2.5908,2.4677,2
2.5957,2.5532,2
2.6035,2.3276,2
2.6329,2.4051,2
2.6379,2.4983,2
2.6447,2.0406,2
2.6706,2.8783,2
2.6954,2.3506,2
2.7716,2.5,2
0.7792,1.9066,3
1.1423,2.1042,3
0,5.949,3
1.1418,5.1343,3
1.7411,4.0712,3
2.0184,3.7701,3
2.0793,3.3201,3
2.1079,3.3714,3
2.2591,3.0764,3
2.4491,3.4674,3
2.7465,3.4578,3
2.8629,3.5853,3
2.9879,1.8097,3
3.1803,2.3607,3
3.2222,1.96,3
3.224,2.1803,3
3.2267,2.2148,3
3.295,2.105,3
3.3071,2.0525,3
3.3934,2.1381,3
3.5198,2.6565,3
3.617,2.0479,3
3.6826,2.3413,3
3.691,2.1691,3
3.9388,1.9878,3